City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.29,-156.79,37.4,93,90,11.41,US,1593572507
1,san fernando,15.03,120.69,87.8,62,75,9.17,PH,1593572508
2,butaritari,3.07,172.79,83.35,71,0,6.96,KI,1593572508
3,atar,20.52,-13.05,88.99,40,0,12.39,MR,1593572509
4,albany,42.6,-73.97,64.99,91,98,2.44,US,1593572433
5,ambikapur,23.12,83.2,86.09,58,1,7.52,IN,1593572510
6,methoni,36.82,21.7,73.99,77,0,8.46,GR,1593572510
7,puerto escondido,15.85,-97.07,82.11,73,100,4.59,MX,1593572511
8,castro,-24.79,-50.01,59.23,93,86,11.1,BR,1593572314
9,yumen,40.28,97.2,81.1,19,5,14.99,CN,1593572512
10,makakilo city,21.35,-158.09,87.8,55,1,11.41,US,1593572441
11,cabo san lucas,22.89,-109.91,78.01,88,40,3.36,MX,1593572513
12,khatanga,71.97,102.5,76.3,37,37,3.58,RU,1593572514
13,hithadhoo,-0.6,73.08,83.84,65,97,2.08,MV,1593572515
14,dikson,73.51,80.55,43.11,94,9,16.46,RU,1593572516
15,ushuaia,-54.8,-68.3,26.6,79,0,8.05,AR,1593572485
16,qaanaaq,77.48,-69.36,37.99,76,0,2.26,GL,1593572517
17,telciu,47.43,24.4,56.97,83,0,1.74,RO,1593572517
18,punta arenas,-53.15,-70.92,24.8,85,2,4.7,CL,1593572488
19,provideniya,64.38,-173.3,46.4,87,90,11.18,RU,1593572518
20,san patricio,19.22,-104.7,80.44,79,91,6.87,MX,1593572519
21,vostok,46.49,135.88,74.37,41,0,6.31,RU,1593572520
22,new norfolk,-42.78,147.06,51.01,75,25,3.09,AU,1593572520
23,verkhoyansk,67.54,133.38,77.5,28,36,7.94,RU,1593572521
24,mackenzie,55.3,-123.17,59.0,82,75,3.36,CA,1593572522
25,puerto ayora,-0.74,-90.35,70.0,91,75,5.99,EC,1593572523
26,awjilah,29.11,21.29,73.33,44,0,6.96,LY,1593572523
27,luis correia,-2.88,-41.67,76.42,86,7,6.82,BR,1593572463
28,rikitea,-23.12,-134.97,69.28,64,32,19.93,PF,1593572524
29,arraial do cabo,-22.97,-42.03,71.6,83,99,11.41,BR,1593572405
30,flin flon,54.77,-101.86,60.91,84,88,11.43,CA,1593572406
31,bluff,-46.6,168.33,39.0,83,100,3.0,NZ,1593572526
32,komsomolskiy,40.43,71.72,78.8,29,23,4.7,UZ,1593572526
33,cidreira,-30.18,-50.21,57.94,72,36,27.87,BR,1593572418
34,hermanus,-34.42,19.23,59.45,65,0,3.47,ZA,1593572528
35,qasigiannguit,68.82,-51.19,44.6,75,100,2.24,GL,1593572528
36,port hardy,50.7,-127.42,57.2,71,75,12.75,CA,1593572529
37,aripuana,-9.17,-60.63,74.32,70,59,1.21,BR,1593572529
38,chicama,-7.84,-79.15,62.56,83,36,5.06,PE,1593572530
39,saskylakh,71.92,114.08,84.81,35,98,7.94,RU,1593572530
40,honningsvag,70.98,25.97,42.93,91,100,22.91,NO,1593572531
41,busselton,-33.65,115.33,55.0,84,72,3.0,AU,1593572531
42,hernani,43.27,-1.98,68.0,88,20,2.24,ES,1593572532
43,thompson,55.74,-97.86,66.2,72,40,12.75,CA,1593572532
44,ambilobe,-13.2,49.05,63.93,85,0,3.11,MG,1593572533
45,ostrovnoy,68.05,39.51,56.17,66,100,18.59,RU,1593572533
46,cherskiy,68.75,161.3,56.03,50,68,16.75,RU,1593572534
47,esperance,-33.87,121.9,51.8,93,75,18.34,AU,1593572534
48,ilulissat,69.22,-51.1,44.6,75,100,2.24,GL,1593572535
49,shaki,41.08,47.17,71.6,68,90,4.7,AZ,1593572535
50,nenjiang,49.18,125.22,80.38,59,0,8.52,CN,1593572536
51,cape town,-33.93,18.42,46.99,100,0,2.24,ZA,1593572320
52,saint-philippe,-21.36,55.77,66.2,48,0,9.17,RE,1593572537
53,kodinsk,58.69,99.18,81.03,40,20,5.93,RU,1593572539
54,fortuna,40.6,-124.16,57.2,76,75,16.11,US,1593572539
55,bialystok,53.13,23.15,55.0,82,51,8.7,PL,1593572515
56,ferrol,43.48,-8.24,64.99,88,90,1.12,ES,1593572540
57,srednekolymsk,67.45,153.68,61.99,36,3,12.26,RU,1593572541
58,laguna,38.42,-121.42,89.6,21,1,8.05,US,1593572541
59,mataura,-46.19,168.86,39.0,83,100,3.0,NZ,1593572542
60,kapaa,22.08,-159.32,84.2,66,1,10.29,US,1593572542
61,atuona,-9.8,-139.03,79.83,74,3,21.74,PF,1593572543
62,tautira,-17.73,-149.15,82.4,54,20,9.17,PF,1593572544
63,deputatskiy,69.3,139.9,62.17,38,100,10.29,RU,1593572544
64,gloucester,51.87,-2.24,57.0,91,94,1.01,GB,1593572510
65,bafra,41.57,35.91,62.6,77,0,3.36,TR,1593572546
66,klaksvik,62.23,-6.59,42.8,87,100,8.05,FO,1593572546
67,ancud,-41.87,-73.82,50.0,100,90,12.75,CL,1593572547
68,salinas,36.68,-121.66,64.4,68,1,13.87,US,1593572521
69,daru,-9.08,143.21,78.91,80,84,13.71,PG,1593572548
70,jamestown,42.1,-79.24,66.2,77,1,4.7,US,1593572548
71,egvekinot,66.32,-179.17,38.16,94,100,8.52,RU,1593572549
72,bredasdorp,-34.53,20.04,48.2,93,0,4.7,ZA,1593572549
73,torbay,47.67,-52.73,66.99,100,90,21.92,CA,1593572550
74,broome,42.25,-75.83,64.99,93,1,6.93,US,1593572551
75,shenkursk,62.11,42.9,52.36,84,100,10.78,RU,1593572551
76,kathmandu,27.72,85.32,75.2,83,75,2.21,NP,1593572552
77,munger,25.38,86.47,93.18,53,1,5.48,IN,1593572552
78,tshikapa,-6.42,20.8,69.13,39,100,1.48,CD,1593572553
79,bogorodskoye,56.55,37.88,57.2,96,58,5.35,RU,1593572553
80,weyburn,49.67,-103.85,63.0,91,100,10.0,CA,1593572258
81,hobart,-42.88,147.33,55.4,62,20,3.36,AU,1593572509
82,port alfred,-33.59,26.89,53.01,90,0,1.01,ZA,1593572555
83,urubicha,-15.38,-62.95,71.35,70,26,1.07,BO,1593572556
84,batagay,67.63,134.63,76.3,23,47,5.64,RU,1593572556
85,feijo,-8.16,-70.35,73.36,77,2,0.56,BR,1593572557
86,kariba,-16.52,28.8,56.26,85,0,3.94,ZW,1593572557
87,zafra,38.42,-6.42,69.01,70,0,4.0,ES,1593572558
88,iqaluit,63.75,-68.51,39.2,80,20,2.24,CA,1593572412
89,avarua,-21.21,-159.78,78.8,69,39,17.22,CK,1593572515
90,galbshtadt,53.23,78.98,73.83,62,99,9.53,RU,1593572559
91,cheremnoye,53.17,83.21,66.2,63,40,6.71,RU,1593572560
92,aksay,47.26,39.87,66.99,72,4,4.47,RU,1593572328
93,cockburn town,21.46,-71.14,82.54,78,4,15.5,TC,1593572561
94,vaini,-21.2,-175.2,75.2,73,75,10.29,TO,1593572562
95,tralee,52.27,-9.7,51.01,91,98,4.09,IE,1593572563
96,eyrarbakki,63.86,-21.15,48.2,87,90,8.05,IS,1593572564
97,kindu,-2.95,25.95,68.38,95,36,0.67,CD,1593572564
98,san jose,37.34,-121.89,75.99,47,1,14.99,US,1593572404
99,half moon bay,37.46,-122.43,66.2,87,90,6.93,US,1593572565
100,antipovka,49.83,45.31,63.46,67,100,5.46,RU,1593572566
101,sao joao da barra,-21.64,-41.05,69.76,85,1,11.1,BR,1593572566
102,boa esperanca,-21.09,-45.57,58.87,87,35,5.53,BR,1593572567
103,mercedes,-34.65,-59.43,48.0,92,98,10.0,AR,1593572419
104,paragominas,-2.97,-47.48,71.15,98,11,2.17,BR,1593572568
105,muros,42.78,-9.06,64.0,92,75,1.1,ES,1593572568
106,beian,63.66,9.57,48.2,70,40,21.92,NO,1593572569
107,frutal,-20.02,-48.94,67.95,59,100,8.63,BR,1593572570
108,san quintin,30.48,-115.95,63.43,78,0,9.82,MX,1593572570
109,alanya,36.54,32.0,81.32,38,0,7.96,TR,1593572571
110,marsabit,2.33,37.99,61.12,90,99,22.37,KE,1593572571
111,casablanca,33.59,-7.62,71.01,100,0,4.7,MA,1593572447
112,anloga,5.79,0.9,77.0,88,20,5.82,GH,1593572573
113,harper,4.38,-7.72,75.58,78,100,3.85,LR,1593572573
114,dagana,16.52,-15.51,77.56,73,0,9.28,MR,1593572574
115,souillac,-20.52,57.52,62.6,93,40,4.7,MU,1593572574
116,klyuchi,52.27,79.17,76.57,43,100,9.89,RU,1593572575
117,norman wells,65.28,-126.83,60.8,77,75,16.11,CA,1593572576
118,fuxin,42.02,121.66,85.82,31,12,11.61,CN,1593572576
119,katherine,-14.47,132.27,86.0,28,55,10.29,AU,1593572577
120,tuktoyaktuk,69.45,-133.04,48.2,93,90,14.99,CA,1593572578
121,tulu bolo,8.67,38.22,56.5,89,100,7.34,ET,1593572579
122,ambon,-3.7,128.18,80.01,83,75,3.36,ID,1593572579
123,berlevag,70.86,29.09,44.1,93,100,21.74,NO,1593572580
124,zhuanghe,39.7,122.99,82.72,51,2,8.86,CN,1593572580
125,hasaki,35.73,140.83,79.0,83,75,17.22,JP,1593572581
126,leningradskiy,69.38,178.42,35.98,95,95,4.36,RU,1593572581
127,luganville,-15.53,167.17,77.0,61,75,8.05,VU,1593572465
128,erenhot,43.65,111.98,80.47,30,30,5.03,CN,1593572582
129,lorengau,-2.02,147.27,85.84,64,54,6.55,PG,1593572466
130,tiznit,29.58,-9.5,75.74,29,0,1.9,MA,1593572584
131,ribeira grande,38.52,-28.7,66.58,94,66,8.32,PT,1593572584
132,barahan,13.01,120.76,85.89,58,31,5.44,PH,1593572585
133,portland,45.52,-122.68,64.99,48,75,13.87,US,1593572334
134,verkhnetulomskiy,68.61,31.8,51.8,93,75,8.95,RU,1593572586
135,marzuq,14.4,46.47,80.17,49,100,7.38,YE,1593572586
136,chokurdakh,70.63,147.92,61.18,30,13,10.0,RU,1593572587
137,pevek,69.7,170.31,37.92,86,100,11.43,RU,1593572435
138,hambantota,6.12,81.12,78.8,100,75,3.36,LK,1593572588
139,honiara,-9.43,159.95,87.8,70,20,9.17,SB,1593572355
140,clyde river,70.47,-68.59,33.8,100,90,4.7,CA,1593572585
141,sarkand,45.41,79.92,78.82,19,0,5.46,KZ,1593572590
142,bengkulu,-3.8,102.27,84.42,59,45,1.19,ID,1593572590
143,lazarev,52.23,141.51,49.15,93,100,17.2,RU,1593572591
144,port-gentil,-0.72,8.78,72.99,81,4,6.04,GA,1593572591
145,susanville,40.42,-120.65,77.0,22,1,14.99,US,1593572296
146,jalu,29.03,21.55,73.47,39,0,6.11,LY,1593572592
147,tommot,58.96,126.29,84.92,31,0,6.96,RU,1593572593
148,pangkalanbuun,-2.68,111.62,86.97,61,59,5.12,ID,1593572547
149,la democracia,14.23,-90.95,68.0,72,20,9.17,GT,1593572594
150,mandalgovi,45.76,106.27,69.39,40,0,11.99,MN,1593572595
151,carnarvon,-24.87,113.63,66.2,77,0,16.11,AU,1593572411
152,kavieng,-2.57,150.8,84.42,72,30,9.51,PG,1593572596
153,aksu,41.12,80.26,81.64,16,43,2.13,CN,1593572596
154,manggar,-2.88,108.27,82.31,82,92,14.92,ID,1593572597
155,aklavik,68.22,-135.01,59.0,67,75,13.87,CA,1593572597
156,noumea,-22.28,166.46,73.4,49,20,13.87,NC,1593572404
157,qaqortoq,60.72,-46.03,44.6,75,97,11.41,GL,1593572598
158,mar del plata,-38.0,-57.56,48.99,70,90,20.8,AR,1593572573
159,berezayka,57.99,33.9,55.76,93,100,7.4,RU,1593572599
160,jiayuguan,39.82,98.3,78.96,19,8,10.47,CN,1593572600
161,talnakh,69.49,88.4,59.0,77,75,22.37,RU,1593572600
